Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C3, C4, C6, C7, C9",0603,16,100n,
"C10, C8",0805,2,10u,
C2,0603,1,22n,
C5,0603,1,1n5,
D1,D_SOD-128,1,STPST5H100AFY,
D2,SOT-23,1,BAV199,
D3,SOT-23,1,BAT54S,
FB1,Ferrite_0603_1608Metric,1,Ferrite_Bead,
"J2, J3","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
LED1,0805,1,ORANGE,
LED2,0805,1,GREEN,
LED3,0805,1,WHITE,
"LED4, LED5",0805,2,LED_0805_Red,
Q1,Diodes_PowerDI5060-8_ThermalVias,1,DMTH10H009LPSQ-13,
Q2,SOT-23,1,BSR14,
Q3,SC-74-6_1.5x2.9mm_P0.95mm,1,PMN280ENEA,
R1,0603,1,47k,
"R10, R25, R26, R27, R28, R29",0603,6,10k,
R11,0603,1,1k8,
R12,0603,1,22k,
"R13, R14, R6",0603,3,100k,
"R15, R20, R32, R9",0603,4,220R,
"R16, R3, R33",0603,3,4k7,
"R17, R22, R7",0603,3,56k,
"R18, R21, R24",0603,3,270R,
"R19, R23, R8",0603,3,1k,
R2,1206,1,0.015R,
"R30, R31, R4",0603,3,2k2,
R5,0603,1,100R,
"SW1, SW2",SW_SPST_PTS647_Sx70,2,VAL?,
SW3,RotaryEncoder_Alps_EC11E18244A5,1,RotaryEncoder_Switch_MP,
"TP1, TP2",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,TestPoint,
"TP10, TP11, TP12, TP13, TP14, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,6,GND,
U1,SOT-23-5,1,74LVC1G17,
"U2, U4",MSOP-8_3x3mm_P0.65mm,2,TSV732IS,
U3,ST_Zio_Only_Connectors_144_STLink,1,NUCLEO144-H743ZI,
U5,SSD1306-0.91-OLED-4pin-128x32_no-header-offset,1,~,
U6,SOT-23-6,1,MCP1501-30xCH,
